match_id,season,match_date,match_time,match_year,match_month,iso_weekday,home_team,away_team,home_goals_ft,away_goals_ft,result_ft,home_goals_ht,away_goals_ht,result_ht,total_goals,goal_diff_home,both_teams_scored,over_2_5,clean_sheet_home,clean_sheet_away,home_points,away_points,source_coverage,has_detailed_stats,league_code,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,odds_avg_home_open,odds_avg_draw_open,odds_avg_away_open,odds_avg_over_2_5_open,odds_avg_under_2_5_open,asian_handicap_line_open,odds_avg_asian_home_open,odds_avg_asian_away_open,odds_avg_home_close,odds_avg_draw_close,odds_avg_away_close,odds_avg_over_2_5_close,odds_avg_under_2_5_close,asian_handicap_line_close,odds_avg_asian_home_close,odds_avg_asian_away_close
2008-04-13_la_coruna_ath_bilbao,2007-08,2008-04-13,,2008,4,7,La Coruna,Ath Bilbao,3,0,H,1,0,H,3,3,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-13_mallorca_sevilla,2007-08,2008-04-13,,2008,4,7,Mallorca,Sevilla,2,3,A,0,1,A,5,-1,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-13_real_madrid_murcia,2007-08,2008-04-13,,2008,4,7,Real Madrid,Murcia,1,0,H,0,0,D,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-13_valladolid_ath_madrid,2007-08,2008-04-13,,2008,4,7,Valladolid,Ath Madrid,1,1,D,0,0,D,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-19_ath_madrid_betis,2007-08,2008-04-19,,2008,4,6,Ath Madrid,Betis,1,3,A,1,1,D,4,-2,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-19_barcelona_espanol,2007-08,2008-04-19,,2008,4,6,Barcelona,Espanol,0,0,D,0,0,D,0,0,False,False,True,True,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-19_sevilla_almeria,2007-08,2008-04-19,,2008,4,6,Sevilla,Almeria,1,4,A,0,1,A,5,-3,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-19_zaragoza_recreativo,2007-08,2008-04-19,,2008,4,6,Zaragoza,Recreativo,3,0,H,2,0,H,3,3,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-20_ath_bilbao_valencia,2007-08,2008-04-20,,2008,4,7,Ath Bilbao,Valencia,5,1,H,1,0,H,6,4,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-20_levante_getafe,2007-08,2008-04-20,,2008,4,7,Levante,Getafe,3,1,H,2,0,H,4,2,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-20_murcia_mallorca,2007-08,2008-04-20,,2008,4,7,Murcia,Mallorca,1,4,A,0,2,A,5,-3,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-20_osasuna_la_coruna,2007-08,2008-04-20,,2008,4,7,Osasuna,La Coruna,0,1,A,0,0,D,1,-1,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-20_santander_real_madrid,2007-08,2008-04-20,,2008,4,7,Santander,Real Madrid,0,2,A,0,1,A,2,-2,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-20_villarreal_valladolid,2007-08,2008-04-20,,2008,4,7,Villarreal,Valladolid,2,0,H,1,0,H,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-26_la_coruna_barcelona,2007-08,2008-04-26,,2008,4,6,La Coruna,Barcelona,2,0,H,0,0,D,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-26_murcia_sevilla,2007-08,2008-04-26,,2008,4,6,Murcia,Sevilla,0,0,D,0,0,D,0,0,False,False,True,True,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-27_betis_villarreal,2007-08,2008-04-27,,2008,4,7,Betis,Villarreal,0,1,A,0,1,A,1,-1,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-27_espanol_zaragoza,2007-08,2008-04-27,,2008,4,7,Espanol,Zaragoza,1,1,D,0,0,D,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-27_getafe_ath_madrid,2007-08,2008-04-27,,2008,4,7,Getafe,Ath Madrid,1,1,D,1,1,D,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-27_mallorca_santander,2007-08,2008-04-27,,2008,4,7,Mallorca,Santander,3,1,H,0,0,D,4,2,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-27_real_madrid_ath_bilbao,2007-08,2008-04-27,,2008,4,7,Real Madrid,Ath Bilbao,3,0,H,1,0,H,3,3,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-27_recreativo_levante,2007-08,2008-04-27,,2008,4,7,Recreativo,Levante,2,0,H,2,0,H,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
